lon.to,lat.to,lon.from,lat.from,from,to,distance,from_population,from_pop_ratio,from_num_cars,to_population,to_pop_ratio,to_num_cars,cost,from.short,to.short
-74.0059728,40.7127753,-74.0059728,40.7127753,"New York, New York","New York, New York",0,19216182,0.30594493005206047,1224,19216182,0.30594493005206047,1224,100,New York,New York
-118.2436849,34.0522342,-74.0059728,40.7127753,"New York, New York","Los Angeles, California",2789.8852878000002,19216182,0.30594493005206047,1224,13214799,0.21039563195784877,842,892.2904705693487,New York,Los Angeles
-87.6297982,41.8781136,-74.0059728,40.7127753,"New York, New York","Chicago, Illinois",789.4657082,19216182,0.30594493005206047,1224,9458539,0.15059141575312338,602,521.4614861941717,New York,Chicago
-96.79698789999999,32.7766642,-74.0059728,40.7127753,"New York, New York","Dallas, Texas",1547.2686008,19216182,0.30594493005206047,1224,7573136,0.12057351266733116,482,690.0300290493697,New York,Dallas
-95.3698028,29.7604267,-74.0059728,40.7127753,"New York, New York","Houston, Texas",1627.04269,19216182,0.30594493005206047,1224,7066141,0.11250153719313215,450,705.0492585318983,New York,Houston
-77.0368707,38.9071923,-74.0059728,40.7127753,"New York, New York","Washington, District of Columbia",227.0974654,19216182,0.30594493005206047,1224,6280487,0.09999297237650409,400,326.0462999365395,New York,Washington
-74.0059728,40.7127753,-118.2436849,34.0522342,"Los Angeles, California","New York, New York",2789.5447606000002,13214799,0.21039563195784877,842,19216182,0.30594493005206047,1224,892.2421164864944,Los Angeles,New York
-118.2436849,34.0522342,-118.2436849,34.0522342,"Los Angeles, California","Los Angeles, California",0,13214799,0.21039563195784877,842,13214799,0.21039563195784877,842,100,Los Angeles,Los Angeles
-87.6297982,41.8781136,-118.2436849,34.0522342,"Los Angeles, California","Chicago, Illinois",2015.5357560000002,13214799,0.21039563195784877,842,9458539,0.15059141575312338,602,773.420778636953,Los Angeles,Chicago
-96.79698789999999,32.7766642,-118.2436849,34.0522342,"Los Angeles, California","Dallas, Texas",1435.7627206,13214799,0.21039563195784877,842,7573136,0.12057351266733116,482,668.3718959756894,Los Angeles,Dallas
-95.3698028,29.7604267,-118.2436849,34.0522342,"Los Angeles, California","Houston, Texas",1547.4376216,13214799,0.21039563195784877,842,7066141,0.11250153719313215,450,690.0622550714459,Los Angeles,Houston
-77.0368707,38.9071923,-118.2436849,34.0522342,"Los Angeles, California","Washington, District of Columbia",2668.4115302,13214799,0.21039563195784877,842,6280487,0.09999297237650409,400,874.8500463283202,Los Angeles,Washington
-74.0059728,40.7127753,-87.6297982,41.8781136,"Chicago, Illinois","New York, New York",788.9313042,9458539,0.15059141575312338,602,19216182,0.30594493005206047,1224,521.3188144920662,Chicago,New York
-118.2436849,34.0522342,-87.6297982,41.8781136,"Chicago, Illinois","Los Angeles, California",2015.026208,9458539,0.15059141575312338,602,13214799,0.21039563195784877,842,773.3356494349605,Chicago,Los Angeles
