City,State,"City, State",Population,freq,num_cars
New York,New York,"New York, New York",19216182,0.22332251785897886,893
Los Angeles,California,"Los Angeles, California",13214799,0.15357692728349034,614
Chicago,Illinois,"Chicago, Illinois",9458539,0.10992322745212071,440
Dallas,Texas,"Dallas, Texas",7573136,0.0880118537391286,352
Houston,Texas,"Houston, Texas",7066141,0.08211976758268436,328
Washington,District of Columbia,"Washington, District of Columbia",6280487,0.07298922180382059,292
Miami,Florida,"Miami, Florida",6166488,0.07166437258489636,287
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",6102434,0.07091996349473792,284
Atlanta,Georgia,"Atlanta, Georgia",6020364,0.06996617990543352,280
Phoenix,Arizona,"Phoenix, Arizona",4948203,0.05750596829470874,230
