rent.func,miles.func,num.hubs,Hubs.used,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,cars.shipped,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,cost.hubs,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,total.cost,newcost,total.rent,total.labor
M,L,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,568,391,280,224,284,338,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,0,0,0,466237.5,318200,251637.5,223950,271075,298762.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,178412.5,131287.5,131287.5,178412.5,131287.5,131287.5,0,103600,0,0,0,0,4208006.432571014,254431.43257101462,3953575,0
L,L,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,568,391,280,224,284,338,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,0,0,0,223725,152800,120925,107700,130250,143475,85775,85775,85775,72550,72550,72550,72550,85775,63225,63225,85775,63225,63225,0,50000,0,0,0,0,2155281.4325710144,254431.43257101462,1900850,0
H,L,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,568,391,280,224,284,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,0,0,69,603150,411400,325150,289200,350300,325150,230450,230450,230450,194500,194500,194500,194500,230450,169350,169350,230450,169350,169350,0,133400,0,0,0,133400,5419691.493722389,240891.49372238977,5178800,0
M,L,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,568,391,280,224,284,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,0,0,69,466237.5,318200,251637.5,223950,271075,251637.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,178412.5,131287.5,131287.5,178412.5,131287.5,131287.5,0,103600,0,0,0,103600,4250941.493722389,240891.49372238977,4010050,0
L,L,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,568,391,280,224,284,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,0,0,69,223725,152800,120925,107700,130250,120925,85775,85775,85775,72550,72550,72550,72550,85775,63225,63225,85775,63225,63225,0,50000,0,0,0,50000,2169191.49372239,240891.49372238977,1928300,0
H,L,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,568,391,280,224,209,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,75,0,69,603150,411400,325150,289200,289200,325150,230450,230450,230450,194500,194500,194500,194500,230450,169350,169350,230450,169350,169350,0,133400,0,133400,0,133400,5478817.417215975,227717.4172159748,5251100,0
M,L,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,568,391,280,224,209,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,75,0,69,466237.5,318200,251637.5,223950,223950,251637.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,178412.5,131287.5,131287.5,178412.5,131287.5,131287.5,0,103600,0,103600,0,103600,4294242.417215975,227717.4172159748,4066525,0
L,L,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,568,391,280,224,209,269,182,180,178,146,144,140,128,192,108,99,171,88,83,0,78,0,75,0,69,223725,152800,120925,107700,107700,120925,85775,85775,85775,72550,72550,72550,72550,85775,63225,63225,85775,63225,63225,0,50000,0,50000,0,50000,2183467.417215975,227717.4172159748,1955750,0
H,L,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,171,88,83,0,78,0,75,74,69,603150,411400,325150,289200,289200,325150,230450,230450,230450,194500,194500,194500,194500,169350,169350,169350,230450,169350,169350,0,133400,0,133400,133400,133400,5538909.27017362,215509.27017362026,5323400,0
M,L,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,171,88,83,0,78,0,75,74,69,466237.5,318200,251637.5,223950,223950,251637.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,131287.5,131287.5,131287.5,178412.5,131287.5,131287.5,0,103600,0,103600,103600,103600,4338509.27017362,215509.27017362026,4123000,0
L,L,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,171,88,83,0,78,0,75,74,69,223725,152800,120925,107700,107700,120925,85775,85775,85775,72550,72550,72550,72550,63225,63225,63225,85775,63225,63225,0,50000,0,50000,50000,50000,2198709.2701736204,215509.27017362026,1983200,0
H,L,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,94,88,83,0,78,77,75,74,69,603150,411400,325150,289200,289200,325150,230450,230450,230450,194500,194500,194500,194500,169350,169350,169350,169350,169350,169350,0,133400,133400,133400,133400,133400,5602376.908540224,206676.9085402238,5395700,0
M,L,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,94,88,83,0,78,77,75,74,69,466237.5,318200,251637.5,223950,223950,251637.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,131287.5,131287.5,131287.5,131287.5,131287.5,131287.5,0,103600,103600,103600,103600,103600,4386151.908540224,206676.9085402238,4179475,0
L,L,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,568,391,280,224,209,269,182,180,178,146,144,140,128,118,108,99,94,88,83,0,78,77,75,74,69,223725,152800,120925,107700,107700,120925,85775,85775,85775,72550,72550,72550,72550,63225,63225,63225,63225,63225,63225,0,50000,50000,50000,50000,50000,2217326.9085402237,206676.9085402238,2010650,0
H,L,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,568,391,280,224,209,186,182,180,178,146,144,140,128,118,108,99,94,88,83,83,78,77,75,74,69,603150,411400,325150,289200,289200,230450,230450,230450,230450,194500,194500,194500,194500,169350,169350,169350,169350,169350,169350,169350,133400,133400,133400,133400,133400,5670450,200100,5470350,0
M,L,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,568,391,280,224,209,186,182,180,178,146,144,140,128,118,108,99,94,88,83,83,78,77,75,74,69,466237.5,318200,251637.5,223950,223950,178412.5,178412.5,178412.5,178412.5,150725,150725,150725,150725,131287.5,131287.5,131287.5,131287.5,131287.5,131287.5,131287.5,103600,103600,103600,103600,103600,4437637.5,200100,4237537.5,0
L,L,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,568,391,280,224,209,186,182,180,178,146,144,140,128,118,108,99,94,88,83,83,78,77,75,74,69,223725,152800,120925,107700,107700,85775,85775,85775,85775,72550,72550,72550,72550,63225,63225,63225,63225,63225,63225,63225,50000,50000,50000,50000,50000,2238825,200100,2038725,0
