City,State,"City, State",Population,freq,num_cars
New York,New York,"New York, New York",19216182,0.30594493005206047,1224
Los Angeles,California,"Los Angeles, California",13214799,0.21039563195784877,842
Chicago,Illinois,"Chicago, Illinois",9458539,0.15059141575312338,602
Dallas,Texas,"Dallas, Texas",7573136,0.12057351266733116,482
Houston,Texas,"Houston, Texas",7066141,0.11250153719313215,450
Washington,District of Columbia,"Washington, District of Columbia",6280487,0.09999297237650409,400
